"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3056","should show error message with invalid credentials","","Sat Nov 30 18:36:01 IST 2024","passed","Sat Nov 30 18:36:05 IST 2024","","Login Page Tests","",""
"","1603","should successfully log in with valid credentials","","Sat Nov 30 18:36:05 IST 2024","passed","Sat Nov 30 18:36:06 IST 2024","","Login Page Tests","",""
